Year,Revenue,Op_Profit,Op_Margin_Percent
2018,9644383546545.0,1024831703646.0,10.626202273064257
2019,8358744818823.0,292760934105.0,3.5024509115977995
2020,7030175197162.0,153437091215.0,2.1825500348403946
2021,4486585681366.0,-1754651375507.0,-39.108834648907745
2022,4860150249534.0,-1613564533698.0,-33.199889938643594
2023,7408312265643.0,-196498300366.0,-2.6524030483607732
2024,10776004933627.0,237876379317.0,2.20746353386213
